run: 196218 lumi: 509 event: 753539223
Crate 00          Crate 01          Crate 02          Crate 03          Crate 04          Crate 05          Crate 06          Crate 07          Crate 08          Crate 09          Crate 10          Crate 11          Crate 12          Crate 13          Crate 14          Crate 15          Crate 16          Crate 17
Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
00000000 20400601 00000000 20000601 00000000 20001601 00000000 201C1605 00000000 20000601 00000000 A0401805 00000000 20000601 00000000 20000601 00000000 20000601 00000000 2080068C 00000002 20000C05 00000000 20041601 00000000 20000601 00000000 38400600 00000000 20001601 00000000 20000601 00000000 A0800705 00000000 20000601 
00000000 00200006 00000018 00200006 00000000 00200006 00000000 00200006 00001000 00200006 00002000 41200006 00000000 00200006 00000000 00200006 00000004 00200006 00000000 C1200006 00000000 41200006 00002000 00200006 00000000 00200006 00001000 81200006 00400000 00200006 00000000 00200006 00005000 00200006 00001000 41200006 
00000000 0100BE01 00000000 0100FF01 00004000 0100FF01 00008040 0100FF01 0000C010 0100FA02 02004000 0100FF02 00000000 0100FF01 00004000 0100FF04 00000000 0100FF01 00010490 0100FF01 00000010 0141FF01 00014000 0100FF03 00000000 0100FF03 01000020 0100FF01 00000010 0100FF01 00000000 0100FF01 00008000 0100EF02 03000000 0100FF00 
00000000 00020100 00000000 01010200 00000000 02060101 00010040 03020002 00000000 00000003 08010040 01020001 00000040 01010001 00000100 03000103 04000040 02030001 14000080 03010102 10000000 00010001 00000000 01010202 00000040 03020001 00001180 04030501 00000000 01030401 00000000 02030002 00010000 00030002 10000000 00010102 
40000000 01040000 10000100 00020000 00000200 02030100 00000100 01010300 20080000 00040000 00000400 01030200 00000000 02040200 00000000 04010000 00000000 02020100 600C0100 01050200 00040200 03010000 10080100 02020300 10000000 02030100 30000400 01010100 00000200 04030100 00000000 00020000 20000000 01050000 00000000 01020000 

run: 196218 lumi: 509 event: 753585983
Crate 00          Crate 01          Crate 02          Crate 03          Crate 04          Crate 05          Crate 06          Crate 07          Crate 08          Crate 09          Crate 10          Crate 11          Crate 12          Crate 13          Crate 14          Crate 15          Crate 16          Crate 17
Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2    Link1    Link2
00000000 00000000 00000000 00000010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000008 00000000 00000000 00000000 00000000 
00001802 20000603 00000000 20000601 00000000 20000601 00000003 305C1605 00000000 20000601 00000000 20000601 00000000 20243605 00000001 20800601 00000800 20000D05 0000082C B0400D07 00000000 20000601 00000C03 20214D07 00001000 20241603 00000004 20000C05 00000800 20441907 00000000 20400601 00000000 20041601 00016001 20000601 
00000000 01200006 00000000 00200007 00400000 00200006 0000000C 41200006 00000000 00200006 00401000 42200006 00000018 00200006 00000000 01200006 00000000 01200006 01C0003C 01200006 00000000 41200006 00002000 01200006 00001010 41200006 00000000 42200006 00C00008 41200006 00000000 00200006 00000000 00200006 00000000 01200006 
00008010 0100FF04 04018010 0500FF01 00004000 0100FF01 00008020 0100FF02 00000000 0100FF02 0002C002 017FFF03 01000040 0100FF02 00000010 0100FF01 00004000 0100FF01 01008000 0100FF02 01000000 0100FF04 28004000 0100FF01 01000000 0100FF01 02000000 0100FF04 00004010 0100FF01 00000000 0100FF02 00004010 0100FF04 00004000 0376FF02 
00000000 03060104 04060040 04030001 04010000 08060101 18000100 05030201 00020000 04040302 9C030000 04020403 04000040 06050201 08020000 02010303 00040000 04040102 00000040 05050202 08020000 06080103 08010000 01040105 00000000 02030103 10000000 04030202 00000000 01050201 000101C0 02020002 00000040 03050102 00030000 06040102 
00000100 040A0300 00000000 04010000 00000000 04010100 00000000 02050000 00000000 04030100 00000100 05060100 00040300 02050500 50040000 02050500 20040000 03030100 20000200 02020300 00040000 06090500 00000100 06050000 20040600 05030200 10000200 01050100 300C0000 03060100 50000200 01020400 000C0100 03050300 00000000 04030300 

